Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1752.6182301308525
FDW14,OUT017,1427.5361691633166
NCN55,OUT010,615.3088890828308
FDQ58,OUT017,2554.810902010902
FDY38,OUT027,6090.780446989742
FDH56,OUT046,1921.5588814188216
FDL48,OUT018,676.2915722241019
FDC48,OUT027,2200.747900292954
FDN33,OUT045,1570.2536184801202
FDA36,OUT017,3086.323461870521
FDT44,OUT017,1932.456279700461
FDQ56,OUT045,1397.7268350781535
NCC54,OUT019,577.9327658042209
FDU11,OUT049,2014.0179571856925
DRL59,OUT013,829.5246508352852
FDM24,OUT049,2499.882129660398
FDI57,OUT045,3265.562515185419
DRC12,OUT018,2707.4083696561393
NCM42,OUT027,2927.9061568080497
FDA46,OUT010,487.8470579764901
FDA31,OUT013,2887.2286897803865
NCJ31,OUT035,3950.5571384346676
FDG52,OUT046,762.3050726545464
NCL19,OUT019,342.85956969843755
FDS10,OUT035,2966.3671773786823
FDX22,OUT010,539.1814724778403
NCF19,OUT035,760.8918903018528
NCE06,OUT046,2662.465095794243
DRC27,OUT046,4036.8752218538243
FDE21,OUT035,1907.6054814207207
NCR42,OUT019,78.58121485686752
FDX51,OUT018,2757.4037765495864
NCR06,OUT018,575.5416267376302
FDU31,OUT027,5672.263181665505
FDU59,OUT017,2710.178001941639
FDR03,OUT027,5350.923841485489
FDS49,OUT027,2183.1022745376213
FDD48,OUT010,278.44429142110516
NCF18,OUT017,3157.3652545666023
NCD43,OUT027,2768.039022374157
NCD54,OUT018,2005.7584962090157
FDY19,OUT010,273.09229415218965
NCY54,OUT017,2867.7434023453648
NCL19,OUT018,2034.3458828614175
FDP23,OUT010,559.9870307249059
FDC26,OUT013,1838.549183441684
FDR14,OUT010,120.78957073702281
NCS41,OUT035,3016.836849846639
FDF41,OUT035,4096.6924807569
FDU34,OUT046,2039.317345243182
DRH11,OUT046,927.4668297254955
FDM03,OUT013,1743.9261777702648
FDS31,OUT017,2979.44109409109
FDJ20,OUT017,1993.4051322979542
FDV44,OUT027,4934.946245959082
FDG02,OUT049,3115.87748538391
FDA09,OUT013,2956.398849944074
FDT04,OUT013,601.9261070283408
FDL58,OUT019,632.6719446789218
FDE52,OUT045,1471.8438576611252
FDW12,OUT035,2384.0501306283863
FDL51,OUT017,3533.9932072709
NCY42,OUT027,3731.858948669973
FDR07,OUT017,1568.034139897487
FDN40,OUT045,2517.8992905904465
FDB35,OUT027,2437.4756014884174
FDA22,OUT017,2733.9343875812806
NCL06,OUT046,4333.048498239208
FDI35,OUT013,2982.0992647520766
NCW42,OUT045,3648.01784839383
NCX06,OUT049,2957.942307697956
FDC37,OUT027,2889.877141255322
